-3.8136,3.9411,2.17,-1.9273,-0.44109,0.74338,-0.2127,-0.42195,-3.2675,3.0041,1.4538,-2.9582,-1.6975,-0.024587,0.07221,-1.0388
1.6409,-0.19245,-1.0565,1.553,1.5009,-1.7303,-0.65317,1.4833,2.3062,-0.95903,-1.3612,3.2924,2.1423,-2.0223,-0.12732,0.39703
5.0033,-2.2947,2.6956,-2.4046,4.1956,-3.9224,-0.80238,-1.0082,3.816,-1.0513,2.3707,-0.58401,2.983,-2.9644,-0.01341,-1.2026
-1.7829,0.13155,1.4362,1.5561,-0.066816,-3.3548,-0.22608,0.3419,-1.1776,0.67116,1.2925,0.77301,-0.94484,-0.98785,0.10368,0.68751
2.3651,0.31426,-3.6665,-1.4512,-1.7884,-0.88228,0.1164,-0.97739,2.1289,0.015486,-2.3239,-0.017601,1.5612,1.2515,0.057582,-0.91022
0.84235,-0.73812,-1.3828,0.84661,1.2104,0.43652,0.0093363,1.7518,0.48623,-0.51179,-0.26654,0.025066,0.027927,1.2953,-0.12552,0.60948
2.201,-1.2038,0.59909,-0.20963,-0.65117,-0.05134,-0.14063,-0.53957,1.271,-0.33242,0.25511,0.22263,0.14288,0.50621,0.0033465,-0.55208
0.012235,1.0997,0.10132,1.457,-2.1855,-0.79298,-0.7002,1.0882,-0.70315,1.2896,-0.8047,0.47843,-0.5405,0.31494,0.010484,0.62868
-0.26621,1.3817,-2.2649,0.49524,0.00029221,-0.14145,-0.82909,-0.35632,0.39413,0.033516,-0.93955,1.4033,-0.28965,0.32561,0.052662,-0.23958
-0.83431,-0.18609,-0.022174,0.58685,-0.078503,0.66222,-0.30077,1.6703,-0.46028,-0.40378,-0.65998,-0.21056,-0.29704,-0.28505,0.034402,0.51949
-1.7594,-1.2183,0.47752,1.0945,0.027521,0.11084,0.22873,0.37191,-0.59303,0.12227,0.67637,-0.28451,-0.56144,-0.60851,0.06652,0.23784
-0.13742,0.64237,-0.065491,-0.50427,-0.90822,-0.9765,0.17748,-0.5625,-0.33494,0.9139,-0.36966,0.94572,-0.81317,-0.35599,0.058209,0.08071
